Queue name,Desk,account,Timeframe BH,Timeframe OOH,SLA answered,abd rate,autre SLA,Target Ans rate,Target Abd rate,Target autre SLA
RN_Spain_Normal_Queue,Renault SP,Renault,40,180,SLA1,Abd1,,0.9,0.95,
RN_Spain_VIP_Queue,Renault SP,Renault,40,180,SLA1,Abd1,,0.9,0.95,
SPM FR PW Queue,Saipem FR,Saipem,45,45,SLA2,Abd4,,0.85,,
SPM FR QUEUE,Saipem FR,Saipem,45,45,SLA2,Abd4,,0.85,,
SPM It MyHR QUEUE,Saipem ITMyHR,Saipem,45,45,SLA2,Abd4,,0.85,,
SPM IT PW Queue,Saipem IT,Saipem,45,45,SLA2,Abd4,,0.85,,
SPM IT QUEUE,Saipem IT,Saipem,45,45,SLA2,Abd4,,0.85,,
Servier English,Servier English,Servier,30,30,SLA1,Abd4,,0.9,0.025,
Servier French,Servier French,Servier,30,30,SLA1,Abd4,,0.9,0.025,
Servier French Password,Servier French Password,Servier,30,30,SLA1,Abd4,,0.9,0.025,
Servier Spanish,Servier Spanish,Servier,30,30,SLA1,Abd4,,0.9,0.025,
Servier VOP,Servier VOP,Servier,30,30,SLA1,Abd4,,0.9,0.025,
Sonova_Dutch_Other,Sonova DU,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Dutch_PSWD,Sonova DU,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Dutch_Shop,Sonova DU,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_English_Other,Sonova Eng,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_English_PSWD,Sonova Eng,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_English_Shop,Sonova Eng,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_French_Other,Sonova FR,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_French_PSWD_Reset,Sonova FR,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_French_Shop,Sonova FR,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_German_Other,Sonova Ger,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_German_Shop,Sonova Ger,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Italy_Other,Sonova IT,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Italy_PSWD_Reset,Sonova IT,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Italy_Shop,Sonova IT,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Mexico_Other,Sonova SP,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Mexico_Shop,Sonova SP,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Portuguese_Other,Sonova Por,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Portuguese_Shop,Sonova Por,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Priority,Sonova Eng,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Spanish_Other,Sonova SP,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Spanish_PSWD_Reset,Sonova SP,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
Sonova_Spanish_Shop,Sonova SP,Sonova,60,60,SLA1,Abd4,,0.8,0.05,
